Dataset,Model,Accuracy,Training_Time,Trust_Score,Trust_Level,Explainability,Robustness,Bias_Shift,Concept_Drift,CUDA,Color,Description
iris,Random Forest,0.9111111111111111,0.17698907852172852,0.6932594603089282,Умеренное доверие,0.36231531743898726,0.8277777777777778,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
iris,MLP Neural Network (CPU),0.7777777777777778,0.061995506286621094,0.855,Высокое доверие,0.75,0.85,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
iris,Support Vector Machine,0.9111111111111111,0.0028734207153320312,0.855,Высокое доверие,0.75,0.85,0.001,0.001,False,#DC143C,Метод опорных векторов
iris,Gradient Boosting,0.9333333333333333,0.18117046356201172,0.7121076204104948,Умеренное доверие,0.40610238435957047,0.8322222222222223,0.001,0.001,False,#FF8C00,Градиентный бустинг
iris,MLP Neural Network (CUDA),0.7555555555555555,0.6010417938232422,0.6676783158263027,Умеренное доверие,0.2850291228990902,0.8455555555555556,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
iris,XANFIS,0.37777777777777777,0.3845202922821045,0.6214231556108027,Умеренное доверие,0.2710578890270066,0.7100000000000001,0.001,0.001,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
breast_cancer,Random Forest,0.9415204678362573,0.17885637283325195,0.5539991494617202,Низкое доверие,0.21119829892344053,0.828,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
breast_cancer,MLP Neural Network (CPU),0.9707602339181286,0.07894492149353027,0.8300000000000001,Высокое доверие,0.75,0.85,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
breast_cancer,Support Vector Machine,0.9824561403508771,0.010925769805908203,0.8300000000000001,Высокое доверие,0.75,0.85,0.001,0.001,False,#DC143C,Метод опорных векторов
breast_cancer,Gradient Boosting,0.9532163742690059,0.4808483123779297,0.5377723805901315,Низкое доверие,0.20274476118026313,0.788,0.001,0.001,False,#FF8C00,Градиентный бустинг
breast_cancer,MLP Neural Network (CUDA),0.9707602339181286,0.20791864395141602,0.5887412388483847,Низкое доверие,0.4138824776967694,0.606,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
wine,Random Forest,1.0,0.1690220832824707,0.6389876776691394,Умеренное доверие,0.20996919417284865,0.85,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
wine,MLP Neural Network (CPU),0.9074074074074074,0.02211165428161621,0.855,Высокое доверие,0.75,0.85,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
wine,Support Vector Machine,0.9814814814814815,0.0031270980834960938,0.855,Высокое доверие,0.75,0.85,0.001,0.001,False,#DC143C,Метод опорных векторов
wine,Gradient Boosting,0.9814814814814815,0.24326419830322266,0.7010613431160804,Умеренное доверие,0.36515335779020086,0.85,0.001,0.001,False,#FF8C00,Градиентный бустинг
wine,MLP Neural Network (CUDA),0.9629629629629629,0.09661388397216797,0.6491878492844262,Умеренное доверие,0.2399696232110655,0.844,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
wine,XANFIS,0.46296296296296297,0.2973048686981201,0.6375696696177922,Умеренное доверие,0.2469241740444803,0.7959999999999999,0.001,0.001,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
digits_binary,Random Forest,1.0,0.18309736251831055,0.6476898068788252,Умеренное доверие,0.23172451719706286,0.85,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
digits_binary,MLP Neural Network (CPU),0.9977777777777778,0.12847042083740234,0.7828530757568752,Умеренное доверие,0.5696326893921881,0.85,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
digits_binary,Support Vector Machine,1.0,0.021500349044799805,0.855,Высокое доверие,0.75,0.85,0.001,0.001,False,#DC143C,Метод опорных векторов
digits_binary,Gradient Boosting,1.0,0.47478199005126953,0.6883303718285614,Умеренное доверие,0.3333259295714033,0.85,0.001,0.001,False,#FF8C00,Градиентный бустинг
digits_binary,MLP Neural Network (CUDA),1.0,0.417726993560791,0.7792381574429275,Умеренное доверие,0.5605953936073188,0.85,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
